Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Scenario_3/Page_Customer Login/input_Email_loginusername""), UserID)",Chrome 131.0.0.0,,,14-01-2025 17:27:34,14-01-2025 17:27:34,0.618s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_Customer Login/input_Password_loginpassword""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:34,14-01-2025 17:27:35,0.289s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Scenario_3/Page_Customer Login/input_Password_loginpassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 17:27:35,14-01-2025 17:27:35,0.345s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_Customer Login/span_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:35,14-01-2025 17:27:35,0.251s,PASSED
"click(findTestObject(""Object Repository/Scenario_3/Page_Customer Login/span_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:27:35,14-01-2025 17:27:40,5.151s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:27:40,14-01-2025 17:27:42,2.007s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_My Account/a_My Cart                    1             _241c1f""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:42,14-01-2025 17:27:45,2.378s,PASSED
"click(findTestObject(""Scenario_3/Page_My Account/a_My Cart                    1             _241c1f""))",Chrome 131.0.0.0,,,14-01-2025 17:27:45,14-01-2025 17:27:45,0.320s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_My Account/button_Proceed to Checkout""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:45,14-01-2025 17:27:45,0.256s,PASSED
"click(findTestObject(""Object Repository/Scenario_3/Page_My Account/button_Proceed to Checkout""))",Chrome 131.0.0.0,,,14-01-2025 17:27:45,14-01-2025 17:27:49,4.020s,PASSED
"waitForElementPresent(findTestObject(""Scenario_3/Page_Checkout/input_Street Address Line 1_street0""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:27:49,14-01-2025 17:28:21,31.125s,PASSED
"setText(findTestObject(""Object Repository/Scenario_3/Page_Checkout/input_Street Address Line 1_street0""), Street)",Chrome 131.0.0.0,,,14-01-2025 17:28:21,14-01-2025 17:28:52,31.384s,FAILED
,,,,,,,
Test Cases/Scenario_4,Chrome 131.0.0.0,,,14-01-2025 17:28:52,14-01-2025 17:29:26,33.685s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,14-01-2025 17:28:52,14-01-2025 17:28:54,2.297s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:28:54,14-01-2025 17:28:54,0.047s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,14-01-2025 17:28:54,14-01-2025 17:29:05,11.111s,PASSED
delay(2),Chrome 131.0.0.0,,,14-01-2025 17:29:05,14-01-2025 17:29:07,2.010s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Home Page/a_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:29:07,14-01-2025 17:29:09,1.432s,PASSED
"click(findTestObject(""Object Repository/Scenario_4/Page_Home Page/a_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:29:09,14-01-2025 17:29:10,1.455s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Customer Login/input_Email_loginusername""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:29:10,14-01-2025 17:29:11,0.370s,PASSED
"setText(findTestObject(""Object Repository/Scenario_4/Page_Customer Login/input_Email_loginusername""), UserID)",Chrome 131.0.0.0,,,14-01-2025 17:29:11,14-01-2025 17:29:11,0.592s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Customer Login/input_Password_loginpassword""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:29:11,14-01-2025 17:29:12,0.271s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Scenario_4/Page_Customer Login/input_Password_loginpassword""), Password)",Chrome 131.0.0.0,,,14-01-2025 17:29:12,14-01-2025 17:29:12,0.362s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Customer Login/span_Sign In""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:29:12,14-01-2025 17:29:12,0.300s,PASSED
"click(findTestObject(""Object Repository/Scenario_4/Page_Customer Login/span_Sign In""))",Chrome 131.0.0.0,,,14-01-2025 17:29:12,14-01-2025 17:29:15,2.945s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Home Page/input_Search_q""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:29:15,14-01-2025 17:29:17,1.546s,PASSED
"setText(findTestObject(""Object Repository/Scenario_4/Page_Home Page/input_Search_q""), ""Nike"")",Chrome 131.0.0.0,,,14-01-2025 17:29:17,14-01-2025 17:29:19,1.924s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Home Page/button_Search""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:29:19,14-01-2025 17:29:19,0.269s,PASSED
"click(findTestObject(""Object Repository/Scenario_4/Page_Home Page/button_Search""))",Chrome 131.0.0.0,,,14-01-2025 17:29:19,14-01-2025 17:29:24,4.680s,PASSED
"waitForElementPresent(findTestObject(""Scenario_4/Page_Search results for Nike/span_Search results for Nike""), 0)",Chrome 131.0.0.0,,,14-01-2025 17:29:24,14-01-2025 17:29:24,0.386s,PASSED
"verifyElementText(findTestObject(""Object Repository/Scenario_4/Page_Search results for Nike/span_Search results for Nike""), ""Search results for: 'Nike'"")",Chrome 131.0.0.0,,,14-01-2025 17:29:24,14-01-2025 17:29:24,0.281s,PASSED
assert true,Chrome 131.0.0.0,,,14-01-2025 17:29:24,14-01-2025 17:29:24,0.000s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 131.0.0.0,,,14-01-2025 17:29:24,14-01-2025 17:29:26,1.328s,PASSED
